,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
67,2018-03-16-01,157590,1479.623,8721.507,460.068,436.131,2.469,0.873,1.055,0.948,0.994
68,2018-03-16-01,158518,2414.146,8723.035,464.704,434.323,1.71,0.882,1.07,0.935,0.994
69,2018-03-16-01,158282,5237.588,8730.874,465.071,433.334,4.405,0.865,1.073,0.932,0.99
70,2018-03-16-01,156440,3351.136,8726.032,465.525,427.873,2.158,0.879,1.088,0.919,0.994
71,2018-03-16-01,160316,4294.416,8728.832,471.299,433.103,176.92,0.88,1.088,0.919,0.994
72,2018-03-16-01,157311,6176.952,8730.581,459.863,435.553,173.08,0.882,1.056,0.947,0.994
1,2018-03-16-02,155947,1485.179,593.061,457.514,433.993,12.458,0.854,1.054,0.949,0.991
2,2018-03-16-02,156979,2419.291,596.944,464.089,430.676,2.816,0.845,1.078,0.928,0.989
3,2018-03-16-02,154510,4288.776,598.48,456.872,430.598,2.246,0.87,1.061,0.942,0.993
4,2018-03-16-02,146283,556.861,595.395,446.243,417.38,24.962,0.853,1.069,0.935,0.989
5,2018-03-16-02,154152,3350.811,596.792,458.649,427.936,6.822,0.874,1.072,0.933,0.993
